# ACCURACY: 84.9409%
# BugID,Prediction
8.472000000000000000e+03,0.000000000000000000e+00
3.774500000000000000e+04,1.000000000000000000e+00
2.877600000000000000e+04,1.000000000000000000e+00
3.329500000000000000e+04,0.000000000000000000e+00
1.896000000000000000e+04,0.000000000000000000e+00
2.825700000000000000e+04,0.000000000000000000e+00
6.611000000000000000e+03,1.000000000000000000e+00
1.048300000000000000e+04,1.000000000000000000e+00
2.507500000000000000e+04,1.000000000000000000e+00
1.716800000000000000e+04,0.000000000000000000e+00
3.521400000000000000e+04,1.000000000000000000e+00
9.408000000000000000e+03,1.000000000000000000e+00
2.527800000000000000e+04,0.000000000000000000e+00
3.033000000000000000e+03,0.000000000000000000e+00
3.258800000000000000e+04,1.000000000000000000e+00
2.849000000000000000e+03,1.000000000000000000e+00
2.355200000000000000e+04,0.000000000000000000e+00
2.827100000000000000e+04,0.000000000000000000e+00
5.964000000000000000e+03,1.000000000000000000e+00
1.833400000000000000e+04,1.000000000000000000e+00
3.822100000000000000e+04,1.000000000000000000e+00
3.074600000000000000e+04,0.000000000000000000e+00
1.198200000000000000e+04,1.000000000000000000e+00
2.101500000000000000e+04,1.000000000000000000e+00
3.616300000000000000e+04,1.000000000000000000e+00
2.036000000000000000e+03,0.000000000000000000e+00
2.951300000000000000e+04,1.000000000000000000e+00
1.150200000000000000e+04,0.000000000000000000e+00
1.623800000000000000e+04,1.000000000000000000e+00
1.602300000000000000e+04,1.000000000000000000e+00
1.914800000000000000e+04,0.000000000000000000e+00
1.412700000000000000e+04,1.000000000000000000e+00
1.692100000000000000e+04,0.000000000000000000e+00
1.071800000000000000e+04,1.000000000000000000e+00
7.447000000000000000e+03,1.000000000000000000e+00
2.411200000000000000e+04,0.000000000000000000e+00
3.273000000000000000e+03,0.000000000000000000e+00
1.143400000000000000e+04,0.000000000000000000e+00
3.030500000000000000e+04,0.000000000000000000e+00
2.451900000000000000e+04,1.000000000000000000e+00
1.730000000000000000e+04,1.000000000000000000e+00
2.900000000000000000e+02,0.000000000000000000e+00
2.004600000000000000e+04,0.000000000000000000e+00
3.697300000000000000e+04,0.000000000000000000e+00
7.272000000000000000e+03,1.000000000000000000e+00
3.653500000000000000e+04,1.000000000000000000e+00
7.030000000000000000e+02,1.000000000000000000e+00
